"","Group A","","","","","","","","","","","Rank","Striker","Goals"
"","","","","","","","","","","","","1","En-Nesyri","1"
"3","Côte d'Ivoire","2","1","0","1","2","1","1","3","","3010200","1","Salah","1"
"1","Equatorial Guinea","2","1","1","0","5","3","2","4","","4020500","1","Osimhen","1"
"4","Guinea-Bissau","2","0","0","2","2","6","-4","0","","-39800","","",""
"2","Nigeria","2","1","1","0","2","1","1","4","","4010200","","",""
"","Group B","","","","","","","","","","","","",""
"3","Cape Verde","0","0","0","0","0","0","0","0","","0","","",""
"1","Egypt","1","0","1","0","2","2","0","1","","1000200","","",""
"4","Ghana","1","0","0","1","1","2","-1","0","","-9900","","",""
"1","Mozambique","1","0","1","0","2","2","0","1","","1000200","","",""
"","Group C","","","","","","","","","","","","",""
"2","Cameroon","1","0","1","0","1","1","0","1","","1000100","","",""
"4","Gambia","1","0","0","1","0","3","-3","0","","-30000","","",""
"2","Guinea","1","0","1","0","1","1","0","1","","1000100","","",""
"1","Senegal","1","1","0","0","3","0","3","3","","3030300","","",""
"","Group D","","","","","","","","","","","","",""
"2","Algeria","1","0","1","0","1","1","0","1","","1000100","","",""
"2","Angola","1","0","1","0","1","1","0","1","","1000100","","",""
"1","Burkina Faso","1","1","0","0","1","0","1","3","","3010100","","",""
"4","Mauritania","1","0","0","1","0","1","-1","0","","-10000","","",""
"","Group E","","","","","","","","","","","","",""
"1","Mali","1","1","0","0","2","0","2","3","","3020200","","",""
"2","Namibia","1","1","0","0","1","0","1","3","","3010100","","",""
"4","South Africa","1","0","0","1","0","2","-2","0","","-20000","","",""
"3","Tunisia","1","0","0","1","0","1","-1","0","","-10000","","",""
"","Group F","","","","","","","","","","","","",""
"2","Congo DR","1","0","1","0","1","1","0","1","","1000100","","",""
"1","Morocco","1","1","0","0","3","0","3","3","","3030300","","",""
"4","Tanzania","1","0","0","1","0","3","-3","0","","-30000","","",""
"2","Zambia","1","0","1","0","1","1","0","1","","1000100","","",""
