,Round Number,Group,Date,Home Team,Home Result,Away Result,Away Team,Kwiatek Home Result,Kwiatek Away Result,Kwiatek Points,Filip Home Result,Filip Away Result,Filip Points,Komar Home Result,Komar Away Result,Komar Points,Artur Home Result,Artur Away Result,Artur Points,Mati Home Result,Mati Away Result,Mati Points,Plech Home Result,Plech Away Result,Plech Points,Lesiu Home Result,Lesiu Away Result,Lesiu Points
0,1,Group A,13/01/2024 21:00,Côte d'Ivoire,0,0,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Group A,14/01/2024 15:00,Nigeria,0,0,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Group B,14/01/2024 18:00,Egypt,0,0,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,Group B,14/01/2024 21:00,Ghana,0,0,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,Group C,15/01/2024 15:00,Senegal,0,0,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,Group C,15/01/2024 18:00,Cameroon,0,0,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,Group D,15/01/2024 21:00,Algeria,0,0,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,Group D,16/01/2024 15:00,Burkina Faso,0,0,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,Group E,16/01/2024 18:00,Tunisia,0,0,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,Group E,16/01/2024 21:00,Mali,0,0,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,Group F,17/01/2024 18:00,Morocco,0,0,Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,Group F,17/01/2024 21:00,Congo DR,0,0,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,Group A,18/01/2024 15:00,Equatorial Guinea,0,0,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,Group A,18/01/2024 18:00,Côte d'Ivoire,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,Group B,18/01/2024 21:00,Egypt,0,0,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,Group B,19/01/2024 15:00,Cabo Verde,0,0,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,Group C,19/01/2024 18:00,Senegal,0,0,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,Group C,19/01/2024 21:00,Guinea,0,0,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,Group D,20/01/2024 15:00,Algeria,0,0,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,Group D,20/01/2024 18:00,Mauritania,0,0,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,Group E,20/01/2024 21:00,Tunisia,0,0,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,Group F,21/01/2024 15:00,Morocco,0,0,Congo DR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,Group F,21/01/2024 18:00,Zambia,0,0,Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,Group E,21/01/2024 21:00,South Africa,0,0,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,Group A,22/01/2024 18:00,Equatorial Guinea,0,0,Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,Group A,22/01/2024 18:00,Guinea-Bissau,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,Group B,22/01/2024 21:00,Mozambique,0,0,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,Group B,22/01/2024 21:00,Cabo Verde,0,0,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3,Group C,23/01/2024 18:00,Guinea,0,0,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,Group C,23/01/2024 18:00,Gambia,0,0,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,Group D,23/01/2024 21:00,Angola,0,0,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,Group D,23/01/2024 21:00,Mauritania,0,0,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,Group E,24/01/2024 18:00,South Africa,0,0,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,Group E,24/01/2024 18:00,Namibia,0,0,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3,Group F,24/01/2024 21:00,Tanzania,0,0,Congo DR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
